episode,attempts,success,phase,steps
0,1,1,DONE_OK,161
1,1,1,DONE_OK,193
2,1,1,DONE_OK,186
3,1,1,DONE_OK,172
4,1,1,DONE_OK,182
5,1,1,DONE_OK,201
6,1,1,DONE_OK,162
7,1,1,DONE_OK,230
8,1,1,DONE_OK,162
9,1,1,DONE_OK,141
10,1,1,DONE_OK,212
11,1,1,DONE_OK,164
12,1,1,DONE_OK,75
13,1,1,DONE_OK,186
14,1,0,DONE_FAIL,300
15,1,1,DONE_OK,228
16,1,1,DONE_OK,357
17,1,0,DONE_FAIL,295
18,1,1,DONE_OK,163
19,1,1,DONE_OK,161
20,1,1,DONE_OK,342
21,1,1,DONE_OK,208
22,1,1,DONE_OK,153
23,1,1,DONE_OK,200
24,1,0,DONE_FAIL,300
25,1,1,DONE_OK,198
26,1,1,DONE_OK,168
27,1,1,DONE_OK,168
28,1,1,DONE_OK,270
29,1,1,DONE_OK,222
30,1,1,DONE_OK,194
31,1,1,DONE_OK,161
32,1,1,DONE_OK,212
33,1,1,DONE_OK,253
34,1,0,DONE_FAIL,300
35,1,1,DONE_OK,183
36,1,1,DONE_OK,196
37,1,0,DONE_FAIL,300
38,1,1,DONE_OK,155
39,1,0,DONE_FAIL,300
40,1,0,DONE_FAIL,300
41,1,1,DONE_OK,168
42,1,1,DONE_OK,271
43,1,1,DONE_OK,216
44,1,1,DONE_OK,161
45,1,1,DONE_OK,170
46,1,0,DONE_FAIL,300
47,1,1,DONE_OK,261
48,1,1,DONE_OK,166
49,1,1,DONE_OK,161
50,1,0,DONE_FAIL,300
51,1,1,DONE_OK,173
52,1,1,DONE_OK,175
53,1,1,DONE_OK,180
54,1,1,DONE_OK,103
55,1,0,DONE_FAIL,300
56,1,1,DONE_OK,373
57,1,0,DONE_FAIL,300
58,1,1,DONE_OK,237
59,1,1,DONE_OK,158
