episode,attempts,success,phase,steps
0,1,1,DONE_OK,139
1,1,1,DONE_OK,158
2,1,1,DONE_OK,107
3,1,0,DONE_FAIL,300
4,1,1,DONE_OK,92
5,1,1,DONE_OK,95
6,1,1,DONE_OK,114
7,1,1,DONE_OK,117
8,1,1,DONE_OK,110
9,1,1,DONE_OK,93
10,1,1,DONE_OK,145
11,1,1,DONE_OK,116
12,1,1,DONE_OK,148
13,1,1,DONE_OK,111
14,1,1,DONE_OK,113
15,1,0,DONE_FAIL,300
16,1,0,DONE_FAIL,300
17,1,1,DONE_OK,96
18,1,1,DONE_OK,133
19,1,1,DONE_OK,118
20,1,1,DONE_OK,209
21,1,1,DONE_OK,87
22,1,1,DONE_OK,135
23,1,1,DONE_OK,63
24,1,1,DONE_OK,140
25,1,1,DONE_OK,93
26,1,1,DONE_OK,115
27,1,0,DONE_FAIL,300
28,1,1,DONE_OK,217
29,1,1,DONE_OK,138
30,1,1,DONE_OK,168
31,1,1,DONE_OK,107
32,1,1,DONE_OK,154
33,1,1,DONE_OK,95
34,1,0,DONE_FAIL,300
35,2,1,DONE_OK,128
36,1,1,DONE_OK,123
37,1,1,DONE_OK,144
38,1,0,DONE_FAIL,300
39,1,1,DONE_OK,104
40,1,1,DONE_OK,141
41,1,0,DONE_FAIL,300
42,1,1,DONE_OK,90
43,1,1,DONE_OK,90
44,1,0,DONE_FAIL,300
45,1,1,DONE_OK,97
46,1,1,DONE_OK,118
47,1,0,DONE_FAIL,300
48,1,1,DONE_OK,131
49,1,1,DONE_OK,128
50,1,1,DONE_OK,165
51,1,1,DONE_OK,96
52,1,1,DONE_OK,198
53,1,1,DONE_OK,140
54,1,1,DONE_OK,127
55,1,1,DONE_OK,133
56,1,1,DONE_OK,143
57,1,1,DONE_OK,123
58,1,0,DONE_FAIL,300
59,1,1,DONE_OK,113
60,1,1,DONE_OK,146
61,1,0,DONE_FAIL,94
62,1,0,DONE_FAIL,300
63,1,1,DONE_OK,124
64,1,1,DONE_OK,129
65,1,0,DONE_FAIL,300
66,1,1,DONE_OK,80
67,1,1,DONE_OK,130
68,1,1,DONE_OK,139
69,1,1,DONE_OK,165
70,1,1,DONE_OK,92
71,1,1,DONE_OK,138
72,1,1,DONE_OK,123
73,1,1,DONE_OK,114
74,1,1,DONE_OK,115
75,1,1,DONE_OK,134
76,1,1,DONE_OK,178
77,1,1,DONE_OK,114
78,1,1,DONE_OK,147
79,1,0,DONE_FAIL,74
80,1,1,DONE_OK,88
81,1,1,DONE_OK,131
82,1,1,DONE_OK,93
83,1,0,DONE_FAIL,300
84,1,1,DONE_OK,125
85,2,1,DONE_OK,98
86,1,1,DONE_OK,106
87,1,0,DONE_FAIL,300
88,1,1,DONE_OK,108
89,1,0,DONE_FAIL,146
90,1,1,DONE_OK,94
91,1,1,DONE_OK,69
92,1,0,DONE_FAIL,300
93,1,1,DONE_OK,87
94,1,1,DONE_OK,136
95,1,1,DONE_OK,101
96,1,1,DONE_OK,101
97,1,1,DONE_OK,109
98,1,1,DONE_OK,108
99,1,1,DONE_OK,118
