episode,attempts,success,phase,steps
0,1,1,DONE_OK,101
1,1,1,DONE_OK,126
2,1,1,DONE_OK,133
3,1,1,DONE_OK,99
4,1,1,DONE_OK,140
5,1,1,DONE_OK,122
6,1,1,DONE_OK,126
7,1,1,DONE_OK,126
8,1,1,DONE_OK,126
9,1,1,DONE_OK,116
10,1,1,DONE_OK,99
11,1,1,DONE_OK,127
12,1,1,DONE_OK,126
13,1,1,DONE_OK,134
14,1,1,DONE_OK,98
15,1,1,DONE_OK,127
16,1,1,DONE_OK,100
17,1,1,DONE_OK,126
18,1,1,DONE_OK,142
19,1,1,DONE_OK,126
20,1,1,DONE_OK,126
21,1,1,DONE_OK,125
22,1,1,DONE_OK,73
23,1,1,DONE_OK,125
24,1,1,DONE_OK,126
25,1,1,DONE_OK,130
26,1,1,DONE_OK,128
27,1,1,DONE_OK,127
28,1,1,DONE_OK,126
29,1,1,DONE_OK,136
30,1,1,DONE_OK,143
31,1,1,DONE_OK,116
32,1,1,DONE_OK,100
33,1,1,DONE_OK,126
34,1,1,DONE_OK,140
35,1,1,DONE_OK,128
36,1,1,DONE_OK,133
37,1,1,DONE_OK,128
38,1,1,DONE_OK,122
39,1,1,DONE_OK,116
40,1,1,DONE_OK,98
41,1,1,DONE_OK,127
42,1,1,DONE_OK,140
43,1,1,DONE_OK,135
44,1,1,DONE_OK,124
45,1,1,DONE_OK,136
46,1,1,DONE_OK,124
47,1,1,DONE_OK,136
48,1,1,DONE_OK,131
49,1,1,DONE_OK,142
50,1,1,DONE_OK,132
51,1,1,DONE_OK,139
52,1,1,DONE_OK,136
53,1,1,DONE_OK,128
54,1,1,DONE_OK,127
55,1,1,DONE_OK,125
56,1,1,DONE_OK,124
57,1,1,DONE_OK,126
58,1,1,DONE_OK,115
59,1,1,DONE_OK,126
60,1,1,DONE_OK,106
61,1,1,DONE_OK,135
62,1,1,DONE_OK,127
63,1,1,DONE_OK,138
64,1,1,DONE_OK,125
65,1,1,DONE_OK,123
66,1,1,DONE_OK,132
67,1,1,DONE_OK,125
68,1,1,DONE_OK,125
69,1,1,DONE_OK,123
70,1,1,DONE_OK,127
71,1,1,DONE_OK,125
72,1,1,DONE_OK,126
73,1,1,DONE_OK,110
74,1,1,DONE_OK,134
75,1,1,DONE_OK,133
76,1,1,DONE_OK,126
77,1,1,DONE_OK,126
78,1,1,DONE_OK,127
79,1,1,DONE_OK,118
80,1,1,DONE_OK,99
81,1,1,DONE_OK,125
82,1,1,DONE_OK,128
83,1,1,DONE_OK,132
84,1,1,DONE_OK,139
85,1,1,DONE_OK,100
86,1,1,DONE_OK,121
87,1,1,DONE_OK,125
88,1,1,DONE_OK,126
89,1,1,DONE_OK,125
90,1,1,DONE_OK,104
91,1,1,DONE_OK,123
92,1,1,DONE_OK,125
93,1,1,DONE_OK,131
94,1,1,DONE_OK,98
95,1,1,DONE_OK,124
96,1,1,DONE_OK,93
97,1,1,DONE_OK,127
98,1,1,DONE_OK,139
99,1,1,DONE_OK,129
