episode,attempts,success,phase,steps,tag,regrasps,unjams,pose_rejects
0,1,0,DONE_FAIL,300,,0,0,0
1,1,0,DONE_FAIL,300,,0,0,0
2,1,0,DONE_FAIL,300,,0,0,0
3,1,1,DONE_OK,195,,0,0,0
4,1,0,DONE_FAIL,300,,0,0,0
5,1,1,DONE_OK,117,,0,0,0
6,1,0,DONE_FAIL,300,,0,0,0
7,1,1,DONE_OK,102,,0,0,0
8,1,0,DONE_FAIL,300,,0,0,0
9,1,1,DONE_OK,65,,0,0,0
10,1,0,DONE_FAIL,300,,0,0,0
11,1,1,DONE_OK,77,,0,0,0
12,1,0,DONE_FAIL,300,,0,0,0
13,1,1,DONE_OK,106,,0,0,0
14,1,1,DONE_OK,278,,0,0,0
15,1,0,DONE_FAIL,300,,0,0,0
16,1,0,DONE_FAIL,300,,0,0,0
17,1,1,DONE_OK,277,,0,0,0
18,1,1,DONE_OK,107,,0,0,0
19,1,1,DONE_OK,264,,0,0,0
20,1,1,DONE_OK,229,,0,0,0
21,1,0,DONE_FAIL,300,,0,0,0
22,1,0,DONE_FAIL,300,,0,0,0
23,1,1,DONE_OK,132,,0,0,0
24,1,0,DONE_FAIL,300,,0,0,0
25,1,1,DONE_OK,265,,0,0,0
26,1,1,DONE_OK,169,,0,0,0
27,1,1,DONE_OK,233,,0,0,0
28,1,1,DONE_OK,186,,0,0,0
29,1,1,DONE_OK,51,,0,0,0
30,1,1,DONE_OK,333,,0,0,0
31,1,1,DONE_OK,97,,0,0,0
32,1,0,DONE_FAIL,300,,0,0,0
33,1,0,DONE_FAIL,300,,0,0,0
34,1,0,DONE_FAIL,300,,0,0,0
35,1,0,DONE_FAIL,300,,0,0,0
36,1,0,DONE_FAIL,300,,0,0,0
37,1,1,DONE_OK,63,,0,0,0
38,1,0,DONE_FAIL,300,,0,0,0
39,1,1,DONE_OK,136,,0,0,0
40,1,0,DONE_FAIL,182,,0,0,0
41,1,1,DONE_OK,210,,0,0,0
42,1,1,DONE_OK,86,,0,0,0
43,1,0,DONE_FAIL,300,,0,0,0
44,1,1,DONE_OK,58,,0,0,0
45,1,0,DONE_FAIL,300,,0,0,0
46,1,0,DONE_FAIL,300,,0,0,0
47,1,0,DONE_FAIL,300,,0,0,0
48,1,0,DONE_FAIL,300,,0,0,0
49,1,1,DONE_OK,82,,0,0,0
