episode,attempts,success,rested,rest_z,phase,steps,tag,regrasps,unjams,pose_rejects,stage_exit,stage_x,stage_y,stage_z
0,1,1,,,DONE_OK,116,,0,0,0,,0.0,0.0,0.0
1,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
2,1,0,,,TRANSPORT,650,,2,0,0,,0.0,0.0,0.0
3,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
4,1,0,,,DONE_FAIL,445,,1,0,0,,0.0,0.0,0.0
5,1,1,,,DONE_OK,136,,0,0,0,,0.0,0.0,0.0
6,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
7,1,0,,,DONE_FAIL,326,,1,0,0,,0.0,0.0,0.0
8,1,1,,,DONE_OK,123,,0,0,0,,0.0,0.0,0.0
9,1,1,,,DONE_OK,127,,0,0,0,,0.0,0.0,0.0
10,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
11,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
12,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
13,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
14,1,0,,,DONE_FAIL,345,,1,0,0,,0.0,0.0,0.0
15,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
16,1,0,,,DONE_FAIL,514,,1,0,0,,0.0,0.0,0.0
17,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
18,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
19,1,1,,,DONE_OK,82,,0,0,0,,0.0,0.0,0.0
20,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
21,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
22,1,0,,,DONE_FAIL,392,,1,0,0,,0.0,0.0,0.0
23,1,1,,,DONE_OK,198,,1,0,0,,0.0,0.0,0.0
24,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
25,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
26,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
27,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
28,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
29,1,1,,,DONE_OK,143,,1,0,0,,0.0,0.0,0.0
30,1,0,,,DONE_FAIL,355,,1,0,0,,0.0,0.0,0.0
31,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
32,1,1,,,DONE_OK,92,,0,0,0,,0.0,0.0,0.0
33,1,1,,,DONE_OK,166,,1,0,0,,0.0,0.0,0.0
34,1,1,,,DONE_OK,144,,0,0,0,,0.0,0.0,0.0
35,1,1,,,DONE_OK,143,,0,0,0,,0.0,0.0,0.0
36,1,0,,,DONE_FAIL,350,,1,0,0,,0.0,0.0,0.0
37,1,1,,,DONE_OK,155,,0,0,0,,0.0,0.0,0.0
38,1,0,,,DONE_FAIL,311,,1,0,0,,0.0,0.0,0.0
39,1,0,,,DONE_FAIL,505,,1,0,0,,0.0,0.0,0.0
40,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
41,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
42,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
43,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
44,1,1,,,DONE_OK,87,,0,0,0,,0.0,0.0,0.0
45,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
46,1,0,,,DONE_FAIL,358,,1,0,0,,0.0,0.0,0.0
47,1,1,,,DONE_OK,116,,0,0,0,,0.0,0.0,0.0
48,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
49,1,1,,,DONE_OK,82,,0,0,0,,0.0,0.0,0.0
50,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
51,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
52,1,0,,,DONE_FAIL,618,,2,0,0,,0.0,0.0,0.0
53,1,1,,,DONE_OK,272,,2,0,0,,0.0,0.0,0.0
54,1,0,,,DONE_FAIL,361,,1,0,0,,0.0,0.0,0.0
55,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
56,1,0,,,DONE_FAIL,77,,0,0,0,,0.0,0.0,0.0
57,1,1,,,DONE_OK,77,,0,0,0,,0.0,0.0,0.0
58,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
59,1,0,,,DONE_FAIL,358,,1,0,0,,0.0,0.0,0.0
60,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
61,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
62,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
63,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
64,1,0,,,DONE_FAIL,303,,1,0,0,,0.0,0.0,0.0
