episode,attempts,success,rested,rest_z,phase,steps,tag,regrasps,unjams,pose_rejects,stage_exit,stage_x,stage_y,stage_z
0,1,0,,,DONE_FAIL,506,,1,0,0,,0.0,0.0,0.0
1,1,1,,,DONE_OK,321,,0,0,0,,0.0,0.0,0.0
2,1,0,,,DONE_FAIL,284,,1,0,0,,0.0,0.0,0.0
3,1,0,,,DONE_FAIL,538,,2,0,0,,0.0,0.0,0.0
4,1,1,,,DONE_OK,94,,0,0,0,,0.0,0.0,0.0
5,1,1,,,DONE_OK,91,,0,0,0,,0.0,0.0,0.0
6,1,1,,,DONE_OK,98,,0,0,0,,0.0,0.0,0.0
7,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
8,1,0,,,DONE_FAIL,387,,1,0,0,,0.0,0.0,0.0
9,1,1,,,DONE_OK,85,,0,0,0,,0.0,0.0,0.0
10,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
11,1,0,,,DONE_FAIL,402,,1,0,0,,0.0,0.0,0.0
12,1,0,,,DONE_FAIL,530,,1,0,0,,0.0,0.0,0.0
13,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
14,1,0,,,DONE_FAIL,289,,1,0,0,,0.0,0.0,0.0
15,1,0,,,TRANSPORT,647,,1,0,0,,0.0,0.0,0.0
16,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
17,1,1,,,DONE_OK,108,,0,0,0,,0.0,0.0,0.0
18,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
19,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
20,1,0,,,DONE_FAIL,283,,1,0,0,,0.0,0.0,0.0
21,1,0,,,DONE_FAIL,347,,1,0,0,,0.0,0.0,0.0
22,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
23,1,1,,,DONE_OK,101,,0,0,0,,0.0,0.0,0.0
24,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
25,1,0,,,DONE_FAIL,124,,0,0,0,,0.0,0.0,0.0
26,1,1,,,DONE_OK,173,,0,0,0,,0.0,0.0,0.0
27,1,0,,,DONE_FAIL,592,,2,0,0,,0.0,0.0,0.0
28,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
29,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
30,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
31,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
32,1,0,,,DONE_FAIL,95,,1,0,0,,0.0,0.0,0.0
33,1,1,,,DONE_OK,80,,0,0,0,,0.0,0.0,0.0
34,1,0,,,DONE_FAIL,567,,2,0,0,,0.0,0.0,0.0
35,2,0,,,DONE_FAIL,443,,1,0,0,,0.0,0.0,0.0
36,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
37,1,0,,,DONE_FAIL,593,,2,0,0,,0.0,0.0,0.0
38,1,0,,,DONE_FAIL,404,,1,0,0,,0.0,0.0,0.0
39,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
40,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
41,1,0,,,DONE_FAIL,313,,1,0,0,,0.0,0.0,0.0
42,1,1,,,DONE_OK,184,,0,0,0,,0.0,0.0,0.0
43,1,1,,,DONE_OK,82,,0,0,0,,0.0,0.0,0.0
44,1,0,,,DONE_FAIL,310,,1,0,0,,0.0,0.0,0.0
45,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
46,1,0,,,DONE_FAIL,466,,1,0,0,,0.0,0.0,0.0
47,1,0,,,DONE_FAIL,271,,1,0,0,,0.0,0.0,0.0
48,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
49,1,0,,,DONE_FAIL,283,,1,0,0,,0.0,0.0,0.0
