episode,attempts,success,phase,steps
0,1,0,DONE_FAIL,300
1,1,1,DONE_OK,138
2,1,1,DONE_OK,106
3,1,1,DONE_OK,126
4,1,1,DONE_OK,142
5,1,0,DONE_FAIL,300
6,1,1,DONE_OK,102
7,1,1,DONE_OK,94
8,1,1,DONE_OK,122
9,1,0,DONE_FAIL,300
10,1,1,DONE_OK,99
11,1,0,DONE_FAIL,300
12,1,1,DONE_OK,148
13,1,1,DONE_OK,113
14,1,1,DONE_OK,162
15,1,1,DONE_OK,126
16,1,1,DONE_OK,141
17,1,1,DONE_OK,132
18,1,0,DONE_FAIL,300
19,1,1,DONE_OK,144
20,1,1,DONE_OK,113
21,1,1,DONE_OK,106
22,1,1,DONE_OK,91
23,1,1,DONE_OK,199
24,1,1,DONE_OK,131
25,1,1,DONE_OK,227
26,1,1,DONE_OK,134
27,1,1,DONE_OK,103
28,1,1,DONE_OK,83
29,1,1,DONE_OK,123
30,1,1,DONE_OK,105
31,1,1,DONE_OK,121
32,1,0,DONE_FAIL,300
33,1,1,DONE_OK,153
34,1,0,DONE_FAIL,300
35,1,1,DONE_OK,156
36,1,1,DONE_OK,143
37,1,1,DONE_OK,121
38,1,1,DONE_OK,174
39,2,0,DONE_FAIL,300
40,1,1,DONE_OK,72
41,1,1,DONE_OK,161
42,2,1,DONE_OK,124
43,1,1,DONE_OK,156
44,1,1,DONE_OK,139
45,1,1,DONE_OK,108
46,1,1,DONE_OK,132
47,1,1,DONE_OK,155
48,1,1,DONE_OK,137
49,1,1,DONE_OK,100
50,1,1,DONE_OK,95
51,1,1,DONE_OK,154
52,1,0,DONE_FAIL,177
53,1,1,DONE_OK,93
54,1,1,DONE_OK,140
55,1,1,DONE_OK,98
56,1,1,DONE_OK,141
57,1,1,DONE_OK,125
58,1,1,DONE_OK,90
59,1,1,DONE_OK,87
60,1,1,DONE_OK,132
61,1,1,DONE_OK,138
62,1,1,DONE_OK,156
63,1,1,DONE_OK,130
64,1,0,DONE_FAIL,300
65,1,1,DONE_OK,115
66,1,1,DONE_OK,138
67,1,1,DONE_OK,134
68,1,1,DONE_OK,145
69,1,1,DONE_OK,110
70,1,1,DONE_OK,148
71,1,1,DONE_OK,144
72,1,1,DONE_OK,126
73,1,1,DONE_OK,135
74,1,1,DONE_OK,118
75,1,1,DONE_OK,107
76,1,1,DONE_OK,99
77,1,1,DONE_OK,95
78,1,1,DONE_OK,100
79,1,1,DONE_OK,115
80,1,0,DONE_FAIL,300
81,1,1,DONE_OK,128
82,1,1,DONE_OK,156
83,1,1,DONE_OK,211
84,1,1,DONE_OK,141
85,1,1,DONE_OK,131
86,1,1,DONE_OK,142
87,1,0,DONE_FAIL,185
88,1,1,DONE_OK,130
89,1,1,DONE_OK,117
90,1,1,DONE_OK,167
91,1,1,DONE_OK,129
92,1,1,DONE_OK,168
93,1,1,DONE_OK,126
94,1,0,DONE_FAIL,300
95,1,1,DONE_OK,20
96,1,1,DONE_OK,97
97,1,1,DONE_OK,100
98,1,0,DONE_FAIL,300
99,1,1,DONE_OK,143
