episode,attempts,success,phase,steps,tag,regrasps,unjams,pose_rejects
0,1,0,DONE_FAIL,300,,0,0,0
1,1,0,DONE_FAIL,300,,0,0,0
2,1,0,DONE_FAIL,300,,0,0,0
3,1,0,DONE_FAIL,300,,0,0,0
4,1,1,DONE_OK,144,,0,0,0
5,1,1,DONE_OK,215,,1,0,0
6,1,1,DONE_OK,93,,0,0,0
7,1,1,DONE_OK,162,,0,0,0
8,1,1,DONE_OK,138,,0,0,0
9,1,1,DONE_OK,145,,0,0,0
10,1,0,DONE_FAIL,300,,0,0,0
11,1,1,DONE_OK,154,,0,0,0
12,1,1,DONE_OK,213,,0,0,0
13,1,0,DONE_FAIL,300,,0,0,0
14,1,1,DONE_OK,150,,0,0,0
15,1,1,DONE_OK,278,,0,0,0
16,1,1,DONE_OK,114,,0,0,0
17,1,1,DONE_OK,142,,0,0,0
18,1,1,DONE_OK,152,,0,0,0
19,1,0,DONE_FAIL,300,,0,0,0
20,1,1,DONE_OK,140,,0,0,0
21,1,1,DONE_OK,191,,0,0,0
22,1,1,DONE_OK,113,,0,0,0
23,1,1,DONE_OK,150,,0,0,0
24,1,1,DONE_OK,208,,0,0,0
25,1,0,DONE_FAIL,300,,0,0,0
26,1,0,DONE_FAIL,300,,0,0,0
27,1,0,DONE_FAIL,300,,0,0,0
28,1,1,DONE_OK,90,,0,0,0
29,1,1,DONE_OK,146,,0,0,0
30,1,0,DONE_FAIL,300,,0,0,0
31,1,0,DONE_FAIL,300,,0,0,0
32,1,0,DONE_FAIL,131,,0,0,0
33,1,0,DONE_FAIL,300,,0,0,0
34,1,0,DONE_FAIL,300,,0,0,0
35,1,0,DONE_FAIL,300,,0,0,0
36,1,0,DONE_FAIL,300,,0,0,0
37,1,0,DONE_FAIL,300,,0,0,0
38,1,0,DONE_FAIL,386,,1,0,0
39,1,1,DONE_OK,114,,0,0,0
40,1,1,DONE_OK,152,,0,0,0
41,1,0,DONE_FAIL,300,,0,0,0
42,1,1,DONE_OK,195,,0,0,0
43,1,1,DONE_OK,124,,0,0,0
44,1,0,DONE_FAIL,300,,0,0,0
45,1,0,DONE_FAIL,300,,0,0,0
46,1,1,DONE_OK,197,,0,0,0
47,1,1,DONE_OK,145,,0,0,0
48,1,0,DONE_FAIL,300,,0,0,0
49,1,1,DONE_OK,144,,0,0,0
