episode,attempts,success,phase,steps,tag,regrasps,unjams,pose_rejects
0,1,0,DONE_FAIL,393,,1,0,0
1,1,1,DONE_OK,177,,0,0,0
2,1,1,DONE_OK,232,,0,0,0
3,1,0,DONE_FAIL,432,,1,0,0
4,1,1,DONE_OK,293,,0,0,0
5,1,1,DONE_OK,131,,0,0,0
6,1,0,DONE_FAIL,300,,0,0,0
7,1,0,DONE_FAIL,300,,0,0,0
8,1,0,DONE_FAIL,289,,1,0,0
9,1,1,DONE_OK,264,,0,0,0
10,1,0,DONE_FAIL,300,,0,0,0
11,1,1,DONE_OK,70,,0,0,0
12,1,0,DONE_FAIL,300,,0,0,0
13,1,1,DONE_OK,180,,0,0,0
14,1,1,DONE_OK,306,,0,0,0
15,1,1,DONE_OK,164,,0,0,0
16,1,0,DONE_FAIL,368,,0,0,0
17,1,0,DONE_FAIL,502,,2,0,0
18,1,1,DONE_OK,355,,0,0,0
19,1,0,DONE_FAIL,300,,0,0,0
20,1,0,DONE_FAIL,300,,0,0,0
21,1,1,DONE_OK,69,,0,0,0
22,1,0,DONE_FAIL,300,,0,0,0
23,1,1,DONE_OK,182,,0,0,0
24,1,1,DONE_OK,138,,0,0,0
25,1,0,DONE_FAIL,300,,0,0,0
26,1,1,DONE_OK,257,,0,0,0
27,1,0,DONE_FAIL,300,,0,0,0
28,1,0,DONE_FAIL,368,,1,0,0
29,1,1,DONE_OK,72,,0,0,0
30,1,1,DONE_OK,114,,0,0,0
31,1,1,DONE_OK,172,,0,0,0
32,1,1,DONE_OK,103,,0,0,0
33,1,0,DONE_FAIL,300,,0,0,0
34,1,1,DONE_OK,137,,0,0,0
35,1,0,DONE_FAIL,300,,0,0,0
36,1,0,DONE_FAIL,300,,0,0,0
37,1,0,DONE_FAIL,335,,1,0,0
38,1,1,DONE_OK,186,,0,0,0
39,1,0,DONE_FAIL,300,,0,0,0
40,1,1,DONE_OK,100,,0,0,0
41,1,1,DONE_OK,88,,0,0,0
42,1,0,DONE_FAIL,300,,0,0,0
43,1,1,DONE_OK,352,,0,0,0
44,1,0,DONE_FAIL,300,,0,0,0
45,1,0,DONE_FAIL,300,,0,0,0
46,1,0,DONE_FAIL,300,,0,0,0
47,1,0,DONE_FAIL,300,,0,0,0
48,1,0,DONE_FAIL,300,,0,0,0
49,1,0,DONE_FAIL,300,,0,0,0
