episode,attempts,success,phase,steps,tag,regrasps,unjams,pose_rejects
0,1,1,DONE_OK,124,,0,0,0
1,1,0,DONE_FAIL,300,,0,0,0
2,1,0,DONE_FAIL,300,,0,0,0
3,1,0,DONE_FAIL,300,,0,0,0
4,1,1,DONE_OK,96,,0,0,0
5,1,1,DONE_OK,237,,0,0,0
6,1,1,DONE_OK,266,,0,0,0
7,1,1,DONE_OK,121,,0,0,0
8,1,0,DONE_FAIL,300,,0,0,0
9,1,1,DONE_OK,203,,0,0,0
10,1,1,DONE_OK,168,,0,0,0
11,1,1,DONE_OK,162,,0,0,0
12,1,0,DONE_FAIL,300,,0,0,0
13,1,1,DONE_OK,256,,0,0,0
14,1,1,DONE_OK,214,,0,0,0
15,1,1,DONE_OK,232,,0,0,0
16,1,1,DONE_OK,164,,0,0,0
17,1,1,DONE_OK,161,,0,0,0
18,1,1,DONE_OK,197,,0,0,0
19,1,1,DONE_OK,156,,0,0,0
20,1,1,DONE_OK,285,,0,0,0
21,1,1,DONE_OK,85,,0,0,0
22,1,1,DONE_OK,286,,0,0,0
23,1,1,DONE_OK,141,,0,0,0
24,1,0,DONE_FAIL,225,,0,0,0
25,1,1,DONE_OK,165,,0,0,0
26,1,0,DONE_FAIL,300,,0,0,0
27,1,1,DONE_OK,178,,0,0,0
28,1,1,DONE_OK,198,,0,0,0
29,1,1,DONE_OK,191,,0,0,0
30,1,1,DONE_OK,178,,0,0,0
31,1,1,DONE_OK,198,,0,0,0
32,1,1,DONE_OK,146,,0,0,0
33,1,1,DONE_OK,159,,0,0,0
34,1,1,DONE_OK,255,,0,0,0
35,1,1,DONE_OK,141,,0,0,0
36,1,1,DONE_OK,131,,0,0,0
37,1,1,DONE_OK,140,,0,0,0
38,1,1,DONE_OK,207,,0,0,0
39,1,0,DONE_FAIL,186,,0,0,0
40,1,0,DONE_FAIL,211,,0,0,0
41,1,1,DONE_OK,256,,0,0,0
42,1,1,DONE_OK,181,,0,0,0
43,1,0,DONE_FAIL,300,,0,0,0
44,1,1,DONE_OK,185,,0,0,0
45,1,1,DONE_OK,156,,0,0,0
46,1,1,DONE_OK,156,,0,0,0
47,1,1,DONE_OK,160,,0,0,0
48,1,1,DONE_OK,268,,0,0,0
49,1,0,DONE_FAIL,300,,0,0,0
