episode,attempts,success,phase,steps
0,1,1,DONE_OK,133
1,1,1,DONE_OK,138
2,1,0,DONE_FAIL,300
3,1,1,DONE_OK,112
4,1,1,DONE_OK,162
5,2,1,DONE_OK,144
6,1,1,DONE_OK,120
7,1,1,DONE_OK,158
8,1,1,DONE_OK,98
9,1,1,DONE_OK,161
10,1,1,DONE_OK,116
11,1,1,DONE_OK,150
12,2,1,DONE_OK,138
13,1,1,DONE_OK,133
14,1,0,DONE_FAIL,96
15,1,1,DONE_OK,89
16,1,1,DONE_OK,63
17,1,1,DONE_OK,153
18,1,0,DONE_FAIL,300
19,1,0,DONE_FAIL,300
20,1,1,DONE_OK,113
21,1,1,DONE_OK,89
22,1,1,DONE_OK,55
23,2,1,DONE_OK,94
24,1,0,DONE_FAIL,300
25,1,1,DONE_OK,96
26,1,1,DONE_OK,141
27,3,1,DONE_OK,136
28,1,1,DONE_OK,147
29,2,1,DONE_OK,94
30,1,1,DONE_OK,159
31,1,1,DONE_OK,107
32,1,1,DONE_OK,101
33,1,1,DONE_OK,96
34,1,1,DONE_OK,166
35,1,1,DONE_OK,163
36,1,1,DONE_OK,158
37,1,1,DONE_OK,137
38,1,0,DONE_FAIL,300
39,1,1,DONE_OK,139
40,1,0,DONE_FAIL,300
41,1,1,DONE_OK,141
42,1,0,DONE_FAIL,300
43,1,1,DONE_OK,128
44,1,1,DONE_OK,150
45,1,1,DONE_OK,84
46,1,1,DONE_OK,92
47,1,1,DONE_OK,94
48,1,1,DONE_OK,84
49,2,0,DONE_FAIL,300
50,1,0,DONE_FAIL,300
51,1,0,DONE_FAIL,300
52,1,1,DONE_OK,154
53,1,1,DONE_OK,163
54,1,0,DONE_FAIL,300
55,1,0,DONE_FAIL,300
56,1,0,DONE_FAIL,300
57,1,1,DONE_OK,141
58,1,1,DONE_OK,140
59,1,1,DONE_OK,88
